,title,release_date,revenue,production_companies,company_nominated,revenue_M
8,Avatar: The Way of Water,2022-12-14,2320250281,20th Century Studios,0,2320.250281
26,The Batman,2022-03-01,770945583,6th & Idaho,1,770.945583
31,Doctor Strange in the Multiverse of Madness,2022-05-04,955775804,Marvel Studios,0,955.775804
40,Top Gun: Maverick,2022-05-24,1488732821,Skydance,1,1488.732821
48,Thor: Love and Thunder,2022-07-06,760928081,Marvel Studios,0,760.928081
49,Puss in Boots: The Last Wish,2022-12-07,482129780,DreamWorks Animation,1,482.12978
65,Black Panther: Wakanda Forever,2022-11-09,859102154,Marvel Studios,0,859.102154
66,Black Adam,2022-10-19,393252111,New Line Cinema,0,393.252111
71,Jurassic World Dominion,2022-06-01,1001978080,Amblin Entertainment,1,1001.97808
72,Everything Everywhere All at Once,2022-03-24,139200000,AGBO,1,139.2
78,Uncharted,2022-02-10,407141258,Columbia Pictures,0,407.141258
82,Bullet Train,2022-08-03,239268602,87North Productions,0,239.268602
88,Glass Onion: A Knives Out Mystery,2022-11-12,13280000,T-Street Productions,0,13.28
89,Turning Red,2022-03-10,18879922,Walt Disney Pictures,1,18.879922
96,Sonic the Hedgehog 2,2022-04-08,405421518,Original Film,1,405.421518
97,The Black Phone,2022-06-22,161440742,Universal Pictures,1,161.440742
108,Fantastic Beasts: The Secrets of Dumbledore,2022-04-06,406950844,Warner Bros. Pictures,1,406.950844
111,Morbius,2022-03-30,167500000,Columbia Pictures,0,167.5
112,The Menu,2022-11-17,79628200,Hyperobject Industries,1,79.6282
115,The Northman,2022-04-07,69633110,New Regency Pictures,1,69.63311
122,Nope,2022-07-20,170823080,Monkeypaw Productions,1,170.82308
123,Fall,2022-08-11,16120263,Tea Shop Productions,0,16.120263
124,M3GAN,2022-12-28,179960167,Atomic Monster,1,179.960167
127,The Gray Man,2022-07-13,454023,AGBO,0,0.454023
131,Minions: The Rise of Gru,2022-06-29,939628210,Universal Pictures,1,939.62821
132,Lightyear,2022-06-15,226425420,Pixar,1,226.42542
133,Death on the Nile,2022-02-09,137307235,Scott Free Productions,0,137.307235
135,The Lost City,2022-03-24,192907684,Paramount,1,192.907684
138,The Whale,2022-12-09,55101305,A24,1,55.101305
145,Elvis,2022-06-22,288670284,Bazmark Films,1,288.670284
153,Scream,2022-01-12,140041405,Paramount,1,140.041405
158,Moonfall,2022-02-03,67295363,Centropolis Entertainment,0,67.295363
169,Smile,2022-09-23,216135048,Paramount Players,1,216.135048
